29-08-2024 07:58:44 Id : 29082024075844 Fecha : 29-08-2024 07:58:44 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 07:59:46 Id : 29082024075946 Fecha : 29-08-2024 07:59:46 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 08:00:37 Id : 29082024080037 Fecha : 29-08-2024 08:00:37 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 08:20:19 Id : 29082024082019 Fecha : 29-08-2024 08:20:19 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:41:39 Id : 29082024114139 Fecha : 29-08-2024 11:41:39 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:42:06 Id : 29082024114206 Fecha : 29-08-2024 11:42:06 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:42:06 Id : 29082024114206 Fecha : 29-08-2024 11:42:06 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:42:06 Id : 29082024114206 Fecha : 29-08-2024 11:42:06 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:43:14 Id : 29082024114314 Fecha : 29-08-2024 11:43:14 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
29-08-2024 11:43:14 Id : 29082024114314 Fecha : 29-08-2024 11:43:14 - Error Multiris : System.ArgumentException: Método web AddErrorJs desconocido. | Nombre del parámetro: methodName |    en System.Web.Script.Services.WebServiceData.GetMethodData(String methodName) |    en System.Web.Handlers.ScriptModule.OnPostAcquireRequestState(Object sender, EventArgs eventArgs) |    en System.Web.HttpApplication.SyncEventExecutionStep.System.Web.HttpApplication.IExecutionStep.Execute() |    en System.Web.HttpApplication.ExecuteStepImpl(IExecutionStep step) |    en System.Web.HttpApplication.ExecuteStep(IExecutionStep step, Boolean& completedSynchronously)
